index,IDM_AIC,IDM_BIC,SIDM_AIC,SIDM_BIC
10,12896.204153010998,12922.77025494645,13211.029410704743,13248.221953414375
11,10718.813952810342,10745.380054745794,10307.395285347864,10344.587828057496
12,9747.788342767744,9774.354444703196,9458.266761024244,9495.459303733876
13,10830.960179082274,10857.526281017726,10234.368009921038,10271.56055263067
14,11237.133767750214,11263.699869685666,9366.16725980766,9403.359802517292
15,10284.580063729605,10311.146165665057,8721.670675790527,8758.863218500159
16,9470.873279340452,9497.439381275904,7144.31154720348,7181.504089913112
17,11111.792108239373,11138.358210174825,9785.572448496967,9822.764991206599
18,8019.4751776047715,8046.041279540223,7935.2173888609805,7972.409931570613
19,8608.109776921507,8634.675878856959,7690.755102371234,7727.947645080866
20,6698.864774658242,6725.430876593693,6003.624913011815,6040.817455721447
21,13201.224493744672,13227.790595680124,10299.9243673916,10337.116910101233
22,10436.965522996265,10463.531624931717,10092.785859517915,10129.978402227547
23,14775.370085682036,14801.936187617488,10338.178595032978,10375.37113774261
