index,IDM_AIC,IDM_BIC,SIDM_AIC,SIDM_BIC
0,7623.255235662434,7658.780134944025,10568.27994698889,10618.014805983119
1,4514.675971872606,4550.200871154198,3559.1070043805657,3608.8418633747942
2,8667.613491477023,8703.138390758615,8588.19159227828,8637.926451272508
3,12336.07910180333,12371.604001084923,3889.5294186702267,3939.264277664455
4,5379.281229734956,5414.806129016547,5675.934478666421,5725.669337660649
5,4824.162186434226,4859.687085715817,7998.32612666246,8048.060985656689
6,9511.425853516233,9546.950752797826,7064.6333866072955,7114.368245601524
7,5220.475205227751,5256.000104509342,4851.695514882524,4901.430373876752
8,16806.148666199224,16841.673565480814,19213.15897524369,19262.89383423792
9,10429.95331727971,10465.478216561301,1109.7026504953192,1159.4375094895477
10,20187.323285005128,20222.84818428672,14270.595089822238,14320.329948816467
11,12976.647596566532,13012.172495848125,11336.299065636838,11386.033924631067
12,3938.6559819797685,3974.1808812613604,3547.33138924552,3597.0662482397483
13,16709.784066103246,16745.308965384836,15435.885312439652,15485.62017143388
14,2893.1547649654613,2928.679664247053,4091.117499549752,4140.852358543981
15,9646.651350700326,9682.176249981918,8826.501836011488,8876.236695005717
16,5071.930726331144,5107.455625612735,4657.637600715469,4707.372459709697
17,13401.268425315215,13436.793324596807,15465.93971964996,15515.674578644188
18,6188.869731447734,6224.394630729325,3572.1731758518,3621.9080348460284
19,7338.677032122674,7374.201931404265,5838.324167408786,5888.059026403014
20,12404.260502541534,12439.785401823126,11993.230869717238,12042.965728711466
21,20580.454583731,20615.97948301259,19574.00936774396,19623.744226738192
22,13447.57893556546,13483.103834847052,11664.466026985909,11714.200885980137
