index,IDM_AIC,IDM_BIC,SIDM_AIC,SIDM_BIC
10,15.149515722699448,30.202692193180724,-101.54656997382108,-80.47212291514728
11,-35.03014994815814,-19.976973477676864,-103.9664471856849,-82.8920001270111
12,-75.4102835517954,-60.357107081314126,32.01096572036897,53.08541277904276
13,-52.08836160629721,-37.03518513581594,-75.50107655678974,-54.42662949811595
14,-237.20094438383416,-222.14776791335288,-160.2309579770095,-139.1565109183357
15,-165.18588192240537,-150.1327054519241,-290.01846609918994,-268.94401904051614
16,82.6836454759906,97.73682194647188,66.30295654872593,87.37740360739971
17,33.071949313361245,48.12512578384252,-319.6690561643054,-298.5946091056316
18,34.49590641072156,49.549082881202835,-2.785724380067677,18.288722678606113
19,93.87727472043781,108.93045119091909,-62.04266411827726,-40.96821705960347
20,46.74319573942843,61.796372209909705,12.272305263493706,33.3467523221675
21,109.35337670766127,124.40655317814254,163.25144164924336,184.32588870791716
22,-9.207021962049907,5.846154508431368,-46.29165246999986,-25.21720541132607
23,362.4106217490918,377.46379821957305,278.86941269490933,299.9438597535831
